LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
33.25,-121.25,DNR,              5.14,              5.42,              6.16,              7.27,              6.90,              6.10,              4.43,              4.71,              5.19,              5.29,              5.68,              5.16,              5.62
33.25,-121.25,KT,              0.57,              0.57,              0.60,              0.63,              0.60,              0.56,              0.47,              0.50,              0.55,              0.57,              0.60,              0.58,              0.57
33.25,-121.25,CLRSKY_SFC_SW_DWN,              3.86,              4.98,              6.43,              7.72,              8.54,              8.84,              8.57,              7.88,              6.74,              5.34,              4.12,              3.51,              6.38
33.25,-121.25,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.25,-121.25,ALLSKY_SFC_SW_DWN,              3.06,              3.85,              5.03,              6.37,              6.71,              6.47,              5.43,              5.26,              4.88,              4.07,              3.41,              2.86,              4.78
33.25,-120.75,DNR,              5.40,              5.69,              6.52,              7.54,              7.14,              6.12,              4.63,              4.95,              5.29,              5.49,              5.90,              5.43,              5.84
33.25,-120.75,KT,              0.59,              0.59,              0.61,              0.64,              0.61,              0.56,              0.49,              0.51,              0.55,              0.58,              0.61,              0.59,              0.58
33.25,-120.75,CLRSKY_SFC_SW_DWN,              3.87,              5.00,              6.44,              7.76,              8.57,              8.85,              8.58,              7.87,              6.74,              5.37,              4.14,              3.53,              6.39
33.25,-120.75,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.25,-120.75,ALLSKY_SFC_SW_DWN,              3.14,              3.95,              5.18,              6.49,              6.83,              6.48,              5.55,              5.39,              4.93,              4.15,              3.48,              2.94,              4.88
33.25,-120.25,DNR,              5.40,              5.69,              6.52,              7.54,              7.14,              6.12,              4.63,              4.95,              5.29,              5.49,              5.90,              5.43,              5.84
33.25,-120.25,KT,              0.59,              0.59,              0.61,              0.64,              0.61,              0.56,              0.49,              0.51,              0.55,              0.58,              0.61,              0.59,              0.58
33.25,-120.25,CLRSKY_SFC_SW_DWN,              3.87,              5.00,              6.44,              7.76,              8.57,              8.85,              8.58,              7.87,              6.74,              5.37,              4.14,              3.53,              6.39
33.25,-120.25,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.25,-120.25,ALLSKY_SFC_SW_DWN,              3.14,              3.95,              5.18,              6.49,              6.83,              6.48,              5.55,              5.39,              4.93,              4.15,              3.48,              2.94,              4.88
33.25,-119.75,DNR,              5.63,              6.00,              6.90,              7.92,              7.47,              6.40,              5.46,              5.71,              5.87,              5.69,              6.29,              5.68,              6.25
33.25,-119.75,KT,              0.60,              0.61,              0.63,              0.66,              0.63,              0.57,              0.54,              0.56,              0.59,              0.59,              0.63,              0.60,              0.60
